Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
414337,2026-04-18,17:00,COLLEGE S LOUIS,RBC DISON-ANDRIMONT A,DD - DIVISION 2 A,
403336,2026-04-19,18:00,RBC DISON-ANDRIMONT A,VAIL. JUPILLE A,MM - DIVISION 2 B,
405336,2026-04-19,16:00,RBC DISON-ANDRIMONT B,VAIL. JUPILLE B,MM - DIVISION 3 B,
407337,2026-04-18,17:00,ORP JAUCHE A,RBC DISON-ANDRIMONT D,MM - DIVISION 4 A,
409325,2026-04-16,20:00,RBC DISON-ANDRIMONT C,ETOILE JUPILLE C,MM - DIVISION 4 C,
409331,2026-04-18,17:00,HARIMALIA BC F,RBC DISON-ANDRIMONT C,MM - DIVISION 4 C,
610336,2026-04-18,12:30,R HT-PRE OUGREE,RBC DISON-ANDRIMONT,U 12 - DD,
505335,2026-04-19,12:00,RBC DISON-ANDRIMONT B,HENRI-CHAPELLE B,U 12 - MM F,
600331,2026-04-18,15:00,ROYAL HERVE-BATTICE,RBC DISON-ANDRIMONT,U 14 - DD A,
590331,2026-04-19,9:00,ROYAL SPA BC,RBC DISON-ANDRIMONT,U 16 - DD A,
470336,2026-04-18,11:00,ATLAS A JUPILLE B,RBC DISON-ANDRIMONT,U 16 - PROV MM A,
541334,2026-04-19,10:00,RBC DISON-ANDRIMONT,BC VERVIERS,U 8 - MM B,
