Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
772115,2024-04-14,10:00,RBC BLEGNY,RBC ESNEUX,CPE PROV U 19,
413304,2024-03-24,15:00,ROYAL SPA BC A,RBC BLEGNY A,DD - DIVISION 1,
413327,2024-04-05,19:00,RBC BLEGNY A,RBC ALLEUR C,DD - DIVISION 1,
413232,2024-04-13,17:00,BC COINTE A,RBC BLEGNY A,DD - DIVISION 1,
413346,2024-04-20,19:00,R HT-PRE OUGREE A,RBC BLEGNY A,DD - DIVISION 1,
413357,2024-04-26,19:00,RBC BLEGNY A,RABC ENSIVAL,DD - DIVISION 1,
414304,2024-03-22,21:00,ROYAL SPA BC B,RBC BLEGNY B,DD - DIVISION 2 A,
414327,2024-04-05,21:00,RBC BLEGNY B,CRISTAL SERAING A,DD - DIVISION 2 A,
414346,2024-04-21,14:00,RBC ESNEUX B,RBC BLEGNY B,DD - DIVISION 2 A,
414357,2024-04-26,21:00,RBC BLEGNY B,ROYAL BC NINANE A,DD - DIVISION 2 A,
416304,2024-03-23,19:00,RBC AWANS,RBC BLEGNY C,DD - DIVISION 3 A,
416247,2024-04-02,21:00,RBC BLEGNY C,RBC STAVELOT,DD - DIVISION 3 A,
416327,2024-04-06,21:00,RBC BLEGNY C,RBC HANEFFE D,DD - DIVISION 3 A,
416346,2024-04-14,11:00,ROYAL SPA BC C,RBC BLEGNY C,DD - DIVISION 3 A,
416357,2024-04-27,21:00,RBC BLEGNY C,DISON-ANDRIMONT B,DD - DIVISION 3 A,
417307,2024-03-22,21:00,RBC BLEGNY D,GIANTS BRAIVES,DD - DIVISION 3 B,
417053,2024-04-13,17:00,RBC 4A AYWAILLE,RBC BLEGNY D,DD - DIVISION 3 B,
417347,2024-04-19,21:00,RBC BLEGNY D,ALL. FLEMALLE B,DD - DIVISION 3 B,
417356,2024-04-27,17:00,RB UNION LIEGE,RBC BLEGNY D,DD - DIVISION 3 B,
405307,2024-03-22,19:00,RBC BLEGNY A,HENRI-CHAPELLE B,MM - DIVISION 3 B,
405017,2024-03-29,20:00,RBC BLEGNY A,HERVE-BATTICE B,MM - DIVISION 3 B,
405324,2024-04-02,20:00,AVENIR JUPILLE A,RBC BLEGNY A,MM - DIVISION 3 B,
405053,2024-04-13,19:00,RBC 4A AYWAILLE A,RBC BLEGNY A,MM - DIVISION 3 B,
405347,2024-04-19,19:00,RBC BLEGNY A,RBC WELKENRAEDT A,MM - DIVISION 3 B,
405356,2024-04-27,21:00,RB UNION LIEGE B,RBC BLEGNY A,MM - DIVISION 3 B,
406304,2024-03-24,10:00,VAIL. JUPILLE B,RBC BLEGNY B,MM - DIVISION 3 C,
406327,2024-04-06,19:00,RBC BLEGNY B,LA SPECIALE,MM - DIVISION 3 C,
406346,2024-04-13,19:00,ROYAL SPA BC B,RBC BLEGNY B,MM - DIVISION 3 C,
406266,2024-04-17,21:00,LA VILLERSOISE B,RBC BLEGNY B,MM - DIVISION 3 C,
406357,2024-04-27,19:00,RBC BLEGNY B,ROYAL BC NINANE C,MM - DIVISION 3 C,
523151,2024-03-23,15:30,RBC BLEGNY,PRAYON TROOZ,U 10 - MM D,
523321,2024-04-06,9:00,RBC BLEGNY,ROYAL SPA BC B,U 10 - MM D,
523306,2024-04-27,15:00,PRAYON TROOZ,RBC BLEGNY,U 10 - MM D,
502222,2024-03-30,11:00,RABC ENSIVAL B,RBC BLEGNY A,U 12 - MM C,
502321,2024-04-06,10:45,RBC BLEGNY A,THEUX BC A,U 12 - MM C,
502342,2024-04-20,13:00,RBC STAVELOT A,RBC BLEGNY A,U 12 - MM C,
503306,2024-03-23,12:30,RBC AUBEL,RBC BLEGNY B,U 12 - MM D,
503321,2024-04-06,12:30,RBC BLEGNY B,THEUX BC B,U 12 - MM D,
503235,2024-04-13,11:00,ATLAS A JUPILLE B,RBC BLEGNY B,U 12 - MM D,
503342,2024-04-20,15:00,RBC STAVELOT B,RBC BLEGNY B,U 12 - MM D,
603341,2024-04-20,17:30,RBC BLEGNY,ATLAS A JUPILLE,U 14 - DD B - Tour 2,
492306,2024-03-23,15:00,RBC HANEFFE,RBC BLEGNY,U 14 - PROV MM C,
492321,2024-04-06,17:00,RBC BLEGNY,ATLAS A JUPILLE C,U 14 - PROV MM C,
492342,2024-04-20,15:00,GIANTS BRAIVES A,RBC BLEGNY,U 14 - PROV MM C,
593301,2024-03-23,17:30,RBC BLEGNY,CRISTAL SERAING,U 16 - DD B - Tour 2,
593321,2024-04-06,14:30,RBC BLEGNY,MAIL. COMBLAIN,U 16 - DD B - Tour 2,
593341,2024-04-20,15:30,RBC BLEGNY,BC COINTE,U 16 - DD B - Tour 2,
580307,2024-03-23,13:30,RBC BLEGNY,HENRI-CHAPELLE,U 19 - DD,
580324,2024-04-07,17:00,RBC VISE,RBC BLEGNY,U 19 - DD,
580347,2024-04-20,13:30,RBC BLEGNY,ABC WAREMME,U 19 - DD,
580356,2024-04-28,10:00,RBC ESNEUX,RBC BLEGNY,U 19 - DD,
541301,2024-03-23,10:15,RBC BLEGNY A,GRACE-HOLLOGNE,U 7 - MM B,
541323,2024-04-06,11:00,ATLAS A JUPILLE,RBC BLEGNY A,U 7 - MM B,
541122,2024-04-13,10:15,BC COINTE,RBC BLEGNY A,U 7 - MM B,
541341,2024-04-20,10:15,RBC BLEGNY A,ROYAL BC NINANE,U 7 - MM B,
543301,2024-03-23,9:00,RBC BLEGNY B,BC VERLAINE,U 7 - MM D,
543323,2024-04-06,11:00,R HT-PRE OUGREE,RBC BLEGNY B,U 7 - MM D,
543341,2024-04-20,9:00,RBC BLEGNY B,GIANTS BRAIVES,U 7 - MM D,
532301,2024-03-23,11:45,RBC BLEGNY,FLERON BBC,U 8 - MM C,
532323,2024-04-06,9:00,BC COINTE,RBC BLEGNY,U 8 - MM C,
532341,2024-04-20,11:45,RBC BLEGNY,ROYAL BC NINANE,U 8 - MM C,
