Code,Date,Heure,Équipe 1,Équipe 2,Catégorie,Autre
407302,2026-03-29,17:00,RSW LIEGE BASKET C,RBC HANEFFE C,MM - DIVISION 4 A,
407317,2026-04-04,20:30,RBC ALLEUR D,RSW LIEGE BASKET C,MM - DIVISION 4 A,
407322,2026-04-12,17:00,RSW LIEGE BASKET C,ROYAL BC NINANE D,MM - DIVISION 4 A,
407332,2026-04-19,15:00,THEUX BC C,RSW LIEGE BASKET C,MM - DIVISION 4 A,
AW101171,2026-04-11,18:00,RSW LIEGE BASKET A,BCCA NEUFCHATEAU,MM - REGIONALE 1,
AW101181,2026-04-18,20:15,ASTE KAIN,RSW LIEGE BASKET A,MM - REGIONALE 1,
AW101165,2026-04-24,20:00,ESL UNITED B,RSW LIEGE BASKET A,MM - REGIONALE 1,
AW102094,2026-03-27,20:00,RSW LIEGE BASKET B,RBC ALLEUR A,MM - REGIONALE 2 A,
AW102165,2026-04-04,19:00,BC FRAIRE,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
AW102171,2026-04-10,20:00,RSW LIEGE BASKET B,BCJS ESTAIMPUIS,MM - REGIONALE 2 A,
AW102181,2026-04-18,20:30,R LINTHOUT BC,RSW LIEGE BASKET B,MM - REGIONALE 2 A,
520323,2026-04-11,12:00,BC BELLEFLAMME A,RSW LIEGE BASKET,U 10 - MM A,
520333,2026-04-18,10:00,RSW LIEGE BASKET,RBC STAVELOT A,U 10 - MM A,
501303,2026-03-28,11:00,RSW LIEGE BASKET,R 4A AYWAILLE-HAMOIR,U 12 - MM B,
501323,2026-04-11,15:00,RSW LIEGE BASKET,RBC AWANS A,U 12 - MM B,
430303,2026-03-28,13:00,RSW LIEGE BASKET B,CRISTAL SGH A,U 18 - ELITES MM A,
430332,2026-04-18,11:00,THEUX BC,RSW LIEGE BASKET B,U 18 - ELITES MM A,
431235,2026-03-29,9:30,R 4A AYWAILLE-HAMOIR,RSW LIEGE BASKET A,U 18 - ELITES MM B,
431054,2026-04-05,10:00,RBC HANEFFE,RSW LIEGE BASKET A,U 18 - ELITES MM B,
431322,2026-04-12,15:00,RSW LIEGE BASKET A,PEPINSTER EAST BELG,U 18 - ELITES MM B,
INJ1812BED,2026-03-29,13:00,RSW LIEGE BASKET,BAVI VILVOORDE,U 18 MM - NATIONAUX B,
INJ1812BEC,2026-04-01,20:00,RSW LIEGE BASKET,SOBABEE ANTWERPEN,U 18 MM - NATIONAUX B,
INJ1812BEF,2026-04-05,13:30,RSW LIEGE BASKET,BC OOSTENDE,U 18 MM - NATIONAUX B,
INJ1812BAE,2026-04-18,13:00,EAST BELGIUM BCA,RSW LIEGE BASKET,U 18 MM - NATIONAUX B,
AW149018,2026-04-11,11:00,RSW LIEGE BASKET,UBCF QUAREGNON,U 21 - SILVER REGIONAUX B,
543305,2026-03-28,11:00,ABC WAREMME B,RSW LIEGE BASKET,U 8 - MM D,
